id,name,credits,tags,subject,term,eligible_grades,prerequisite,corequisite,elective,schools
0002VP2A,Late Arrival (2nd Period) A,0,MCTC,Local,Semester 1,12th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0002VP2B,Late Arrival (2nd Period) B,0,MCTC,Local,Semester 2,12th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0020A,Study Hall,0,,Local,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0020B,Study Hall,0,,Local,Semester 2,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0049U,Fitness,0,,Local,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0052AKS,Algebra 1 (Half Day AM),0,,MATH,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0052PKS,Algebra 1 (Half Day PM),0,,MATH,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0053AKS,English 1 (Half Day AM),0,,English Language Arts,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0053PKS,English 1 (Half Day PM),0,,English Language Arts,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0054AKS,Biology (Half Day AM),0,,Science,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0054PKS,Biology (Half Day PM),0,,Science,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0055AKS,English 2 (Half Day AM),0,,English Language Arts,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0055PKS,English 2 (Half Day PM),0,,English Language Arts,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0056AKS,US History (Half Day AM),0,,Social Studies,Semester 1,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0056PKS,US History (Half Day PM),0,,Social Studies,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0062,Dual Credit Learning Framework,0.5,DC,English Language Arts,Semester 1,"10th, 11th, 12th",N/A,N/A,True,Morton Ranch HS
0065,LeadWorthy,0.5,,Elective,"Semester 1, Semester 2","9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0075A,AP Seminar A,0.5,AP,English Language Arts,Semester 1,"10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0075B,AP Seminar B,0.5,AP,English Language Arts,Semester 1,"10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0077A,AP Research A,0.5,AP,English Language Arts,Semester 1,"11th, 12th",AP Seminar,N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0077B,AP Research B,0.5,AP,English Language Arts,Semester 1,"11th, 12th","AP Seminar , Note: Available only at campuses which applied to and were approved by College Board to offer this course.",N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0080A,Peer Assistance and Leadership 1A,0.5,,Elective,Semester 1,"11th, 12th",N/A,N/A,True,"Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0080B,Peer Assistance and Leadership 1B,0.5,,Elective,Semester 2,"11th, 12th",N/A,N/A,True,"Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0081A,Peer Assistance and Leadership 2A,0.5,,Elective,Semester 1,12th,Peer Assistance and Leadership 1,N/A,True,"Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0081B,Peer Assistance and Leadership 2B,0.5,,Elective,Semester 1,12th,"Peer Assistance and Leadership 1 , Successful Completion of Peer Assistance and Leadership 1",N/A,True,"Seven Lakes HS,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0101A,English 1A,0.5,,English Language Arts,Semester 1,9th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0101B,English 1B,0.5,,English Language Arts,Semester 1,9th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0102A,English 2A,0.5,,English Language Arts,Semester 1,10th,English 1,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0102B,English 2B,0.5,,English Language Arts,Semester 1,10th,English 1,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103A,English 3A,0.5,,English Language Arts,Semester 1,11th,English 2,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103B,English 3B,0.5,,English Language Arts,Semester 1,11th,English 2,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103VIRA,KVS English 3A,0.5,VIR,English Language Arts,Semester 1,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103VIRB,KVS English 3B,0.5,VIR,English Language Arts,Semester 1,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103VIRKSA,KVS English 3A  (Summer only),0.5,VIR,English Language Arts,Semester 1,"9th, 10th, 11th, 12th","Englsih 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0103VIRKSB,KVS English 3B (Summer only),0.5,VIR,English Language Arts,Semester 2,"9th, 10th, 11th, 12th","English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104A,English 4A,0.5,,English Language Arts,Semester 1,12th,English 3,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104B,English 4B,0.5,,English Language Arts,Semester 1,12th,English 3,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104VIRA,KVS English 4A,0.5,VIR,English Language Arts,Semester 1,"9th, 10th, 11th, 12th","English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104VIRB,KVS English 4B,0.5,VIR,English Language Arts,Semester 2,"9th, 10th, 11th, 12th","English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104VIRKSA,KVS English 4A  (Summer only),0.5,VIR,English Language Arts,Semester 1,"9th, 10th, 11th, 12th","English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0104VIRKSB,KVS English 4B  (Summer only),0.5,VIR,English Language Arts,Semester 2,"9th, 10th, 11th, 12th","English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0109A,AP English Language GT A,0.5,"AP,GT",English Language Arts,Semester 1,11th,"English 2 , Requires ELA GT Identification",N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0109B,AP English Language GT B,0.5,"AP,GT",English Language Arts,Semester 2,11th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0109VIRA,KVS AP English & Language GT A,0.5,"AP,GT,VIR",English Language Arts,Semester 1,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0109VIRB,KVS AP English & Language GT B,0.5,"AP,GT,VIR",English Language Arts,Semester 2,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0110A,AP English Literature GT A,0.5,"AP,GT",English Language Arts,Semester 1,12th,"English 3 or Advanced Placement English Language and Composition , Requires ELA GT identification",N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0110B,AP English Literature GT B,0.5,"AP,GT",English Language Arts,Semester 2,12th,"English 3 or Advanced Placement English Language and Composition , Requires ELA GT Identification",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0110VIRA,KVS AP English & Literature GT A,0.5,"AP,GT,VIR",English Language Arts,Semester 1,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0110VIRB,KVS AP English Literature GT B,0.5,"AP,GT,VIR",English Language Arts,Semester 2,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113A,AP English Language A,0.5,AP,English Language Arts,Semester 1,11th,English 2,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113B,AP English Language B,0.5,AP,English Language Arts,Semester 2,11th,English 2,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113VIRA,KVS AP English & Language A,0.5,"AP,VIR",English Language Arts,Semester 1,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113VIRB,KVS AP English & Language B,0.5,"AP,VIR",English Language Arts,Semester 2,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113VIRKSA,KVS AP English & Language A  (Summer only),0.5,"AP,VIR",English Language Arts,Semester 1,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0113VIRKSB,KVS AP English & Language B  (Summer only),0.5,"AP,VIR",English Language Arts,Semester 2,11th,"English 2 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114A,AP English Literature A,0.5,AP,English Language Arts,Semester 1,12th,English 3 or AP English Language,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114B,AP English Literature B,0.5,AP,English Language Arts,Semester 2,12th,English 3,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114VIRA,KVS AP English Literature A,0.5,"AP,VIR",English Language Arts,Semester 1,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114VIRB,KVS AP English Literature B,0.5,"AP,VIR",English Language Arts,Semester 2,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114VIRKSA,KVS AP English Literature A  (Summer only),0.5,"AP,VIR",English Language Arts,Semester 1,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0114VIRKSB,KVS AP English Literature B  (Summer only),0.5,"AP,VIR",English Language Arts,Semester 2,12th,"English 3 , REQUIRED:  Selecting this course for planning purposes does not guarantee enrollment into the course.  A Katy Virtual School application must be completed before course enrollment will be considered.",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0120A,English 4A (Dual Credit),0.5,DC,English Language Arts,Semester 1,12th,"English 3 , HCC admissions requirements; TSI requirement",N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0120B,English 4B (Dual Credit),0.5,DC,English Language Arts,Semester 2,12th,English 3,N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0138A,Literary Genres A,0.5,,English Language Arts,Semester 1,"11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0138B,Literary Genres B,0.5,,English Language Arts,Semester 1,"11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0141A,English 1 KAP A,0.5,KAP,English Language Arts,Semester 1,9th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0141B,English 1 KAP B,0.5,KAP,English Language Arts,Semester 1,9th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0142A,English 2 KAP A,0.5,KAP,English Language Arts,Semester 1,10th,English 1,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0142B,English 2 KAP B,0.5,KAP,English Language Arts,Semester 1,10th,English 2,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0143A,English 1 KAP/GT A,0.5,"GT,KAP",English Language Arts,Semester 1,9th,N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
0143B,English 1 KAP/GT B,0.5,"GT,KAP",English Language Arts,Semester 2,"9th, 10th, 11th, 12th",N/A,N/A,True,"Katy HS,Seven Lakes HS,Raines Academy,Tompkins HS,Taylor HS,Opportunity Awareness Center,Miller Career and Tech Center,Mayde Creek HS,Cinco Ranch HS,Morton Ranch HS,Paetow HS,Jordan HS"
